File name,date,Disc position,EDSar(s),error,ncf peak -1,ncf peak -2,Lx/Tx,Error,a,ae,b,be,c,ce,NCF Test dose,Machine Dose Rate (Gy/min),Machine calibration date (D-M-YYYY),Experiment date (D-M-YYYY)
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,25,251.39,14.48,79130,73928,4.221,0.172,9.32,0.393,420,30.2,1.81,0.333,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,27,509.46,37.49,27482,24061,7.06,0.244,9.66,0.381,389,27,1.82,0.288,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,29,284.61,24.7,56266,47958,4.435,0.213,8.23,0.363,368,29.6,0.459,0.373,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,31,422.71,31.14,81891,75391,5.296,0.141,6.97,0.19,297,15.7,0.423,0.134,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,33,884.71,91.2,102961,88966,8.624,0.261,9.93,0.373,436,27.1,1.07,0.192,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,35,416.41,25.06,76221,65090,6.453,0.2,11.3,0.495,495,34.1,0.771,0.186,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,37,232.62,21.73,54009,48147,3.995,0.235,8.04,0.36,338,28.8,-0.43,0.437,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,39,339.35,25.09,90665,76296,4.9,0.172,7.88,0.283,350,23.1,1.39,0.273,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,41,211.55,14.45,69024,58237,3.481,0.18,9.17,0.531,447,43,1.77,0.57,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,43,254.02,17.53,76909,67379,4.009,0.156,8.68,0.356,412,28.9,1.03,0.278,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,45,263.15,18.36,47033,41619,4.575,0.241,12,0.745,547,51.8,0.214,0.344,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
